Country,Population,GDP (USD),GDP per capita (USD),Sub-region
Nigeria,206139589,514000000000,2495,Western Africa
Ethiopia,114963588,105000000000,913,Eastern Africa
Egypt,102334404,394000000000,3848,Northern Africa
DR Congo,89561403,50000000000,558,Central Africa
Tanzania,59734218,64000000000,1071,Eastern Africa
South Africa,59308690,350000000000,5903,Southern Africa
Kenya,53771296,110000000000,2046,Eastern Africa
Uganda,45741007,41000000000,897,Eastern Africa
Algeria,43851044,170000000000,3883,Northern Africa
Sudan,43849260,30700000000,700,Northern Africa
Morocco,36910560,120000000000,3251,Northern Africa
Angola,32866272,65000000000,1977,Central Africa
Mozambique,31255435,15000000000,480,Eastern Africa
Ghana,31072940,70000000000,2253,Western Africa
Madagascar,27691018,14000000000,506,Eastern Africa
Cameroon,26545863,39000000000,1468,Central Africa
Côte d'Ivoire,26378274,71000000000,2692,Western Africa
Niger,24206644,11000000000,455,Western Africa
Burkina Faso,20903273,13000000000,621,Western Africa
Mali,20250833,19000000000,938,Western Africa
Malawi,19129952,11000000000,575,Eastern Africa
Zambia,18383955,23000000000,1251,Eastern Africa
Senegal,16743927,24000000000,1434,Western Africa
Chad,16425864,12000000000,730,Central Africa
Somalia,15893222,7000000000,441,Eastern Africa
Zimbabwe,14862924,22000000000,1481,Eastern Africa
Guinea,13132795,12000000000,914,Western Africa
Rwanda,12952218,10000000000,772,Eastern Africa
Benin,12123200,15000000000,1237,Western Africa
Burundi,11890784,3000000000,252,Eastern Africa
Tunisia,11818618,45000000000,3808,Northern Africa
South Sudan,11193725,4000000000,357,Eastern Africa
Togo,8278724,7000000000,845,Western Africa
Sierra Leone,7976983,4000000000,501,Western Africa
Libya,6871292,50000000000,7275,Northern Africa
Congo,5518087,12000000000,2174,Central Africa
Liberia,5057681,3200000000,632,Western Africa
Central African Republic,4829767,2500000000,518,Central Africa
Mauritania,4649658,10000000000,2151,Western Africa
Eritrea,3546437,2000000000,564,Eastern Africa
