Country,Sub-Region,Total Population (Millions),GDP (Billions USD),GDP per Capita (USD)
Argentina,South America,45.3,481.2,10,622
Bahamas,Caribbean,418,13.1,31,313
Barbados,Caribbean,285,5.9,20,694
Belize,Central America,424,2.9,6,828
Bolivia,South America,12.2,47.4,3,869
Brazil,South America,215.3,1,608.2,7,463
Canada,North America,38.9,1,990.9,51,103
Chile,South America,19.5,336.4,17,225
Colombia,South America,51.2,518.9,10,133
Costa Rica,Central America,5.2,69.2,13,308
Cuba,Caribbean,11.3,107.1,9,470
Dominica,Caribbean,73,0.8,11,096
Dominican Republic,Caribbean,11.1,97.1,8,747
Ecuador,South America,18.1,113.7,6,281
El Salvador,Central America,6.9,32.3,4,667
Grenada,Caribbean,113,1.2,10,708
Guatemala,Central America,18.4,82.3,4,462
Guyana,South America,817,9.9,12,129
Haiti,Caribbean,11.6,10.3,888
Honduras,Central America,10.4,32.2,3,100
Jamaica,Caribbean,2.9,15.1,5,207
Mexico,North America,130.2,1,328.1,10,201
Nicaragua,Central America,7.1,25.8,3,634
Panama,Central America,4.4,78.6,17,864
Paraguay,South America,7.3,38.4,5,260
Peru,South America,33.6,231.9,6,903
Saint Kitts and Nevis,Caribbean,56,1.1,19,643
Saint Lucia,Caribbean,186,2.1,11,290
Saint Vincent and the Grenadines,Caribbean,103,0.8,7,805
Suriname,South America,605,4.3,7,111
Trinidad and Tobago,Caribbean,1.4,25.3,18,071
United States,North America,338.3,25,463.5,75,305
Uruguay,South America,3.5,60.8,17,371
Venezuela,South America,28.4,58.4,2,057

